"";"Municipios";"total";"65_mas";"porc_envejecido"
"2430";"42070 Cubilla";31;18;58,0645161290323
"2431";"34066 Cubillas de Cerrato";60;23;38,3333333333333
"2432";"24062 Cubillas de los Oteros";135;57;42,2222222222222
"2433";"24063 Cubillas de Rueda";409;156;38,1418092909535
"2434";"47057 Cubillas de Santa Marta";329;78;23,7082066869301
"2435";"40062 Cubillo";74;27;36,4864864864865
"2436";"19102 Cubillo de Uceda, El";119;28;23,5294117647059
"2437";"09114 Cubillo del Campo";99;33;33,3333333333333
"2438";"49056 Cubillos";300;121;40,3333333333333
"2439";"24064 Cubillos del Sil";1768;403;22,7941176470588
"2440";"44089 Cubla";55;12;21,8181818181818
"2441";"49057 Cubo de Benavente";116;54;46,551724137931
"2442";"09115 Cubo de Bureba";95;36;37,8947368421053
"2443";"37113 Cubo de Don Sancho, El";432;139;32,1759259259259
"2444";"42071 Cubo de la Solana";181;82;45,3038674033149
"2445";"49058 Cubo de Tierra del Vino, El";322;114;35,4037267080745
"2446";"44090 Cucalón";78;32;41,025641025641
"2447";"33021 Cudillero";4922;1558;31,65379926859
"2448";"49059 Cuelgamures";81;37;45,679012345679
"2449";"40063 Cuéllar";9659;2107;21,8138523656693
"2450";"16078 Cuenca";54621;10234;18,7363834422658
"2451";"47058 Cuenca de Campos";215;92;42,7906976744186
"2452";"50091 Cuerlas, Las";41;20;48,780487804878
"2453";"45055 Cuerva";1299;321;24,7113163972286
"2454";"41903 Cuervo de Sevilla, El";8656;1229;14,1982439926063
"2455";"44092 Cuervo, El";80;36;45
"2456";"42073 Cueva de Ágreda";71;38;53,5211267605634
"2457";"09117 Cueva de Roa, La";120;41;34,1666666666667
"2458";"16079 Cueva del Hierro";32;11;34,375
"2459";"29047 Cuevas Bajas";1370;274;20
"2460";"44093 Cuevas de Almudén";118;27;22,8813559322034
"2461";"40905 Cuevas de Provanco";130;64;49,2307692307692
"2462";"09119 Cuevas de San Clemente";41;24;58,5365853658537
"2463";"29049 Cuevas de San Marcos";3601;756;20,9941682865871
"2464";"04035 Cuevas del Almanzora";14455;2279;15,7661708751297
"2465";"29048 Cuevas del Becerro";1597;429;26,8628678772699
"2466";"18912 Cuevas del Campo";1744;475;27,2362385321101
"2467";"05066 Cuevas del Valle";475;155;32,6315789473684
"2468";"44094 Cuevas Labradas";137;56;40,8759124087591
"2469";"12051 Culla";481;208;43,2432432432432
"2470";"18056 Cúllar";4091;1105;27,0105108775361
"2471";"18057 Cúllar Vega";7547;823;10,9049953623957
"2472";"46105 Cullera";22521;4851;21,5398960969762
"2473";"15031 Culleredo";30685;5284;17,2201401336158
"2474";"10069 Cumbre, La";841;298;35,4340071343639
"2475";"21027 Cumbres de Enmedio";51;12;23,5294117647059
"2476";"21028 Cumbres de San Bartolomé";376;124;32,9787234042553
"2477";"21029 Cumbres Mayores";1749;400;22,8702115494568
"2478";"43051 Cunit";13533;3056;22,5818369910589
"2479";"36015 Cuntis";4665;1485;31,8327974276527
"2480";"47059 Curiel de Duero";118;31;26,271186440678
"2481";"15032 Curtis";4053;1059;26,1287934863064
"2482";"29050 Cútar";616;179;29,0584415584416
"2483";"26056 Cuzcurrita de Río Tirón";509;140;27,5049115913556
"2484";"28053 Daganzo de Arriba";10337;804;7,77788526651833
"2485";"13039 Daimiel";17916;3596;20,0714445188658
"2486";"46113 Daimús";3196;627;19,6182728410513
"2487";"04038 Dalías";4066;784;19,2818494835219
"2488";"17060 Darnius";537;141;26,2569832402235
"2489";"50094 Daroca";1965;550;27,9898218829517
"2490";"26057 Daroca de Rioja";50;17;34
"2491";"18063 Darro";1634;246;15,0550795593635
"2492";"17061 Das";234;40;17,0940170940171
"2493";"03061 Daya Nueva";1733;423;24,4085401038661
"2494";"03062 Daya Vieja";731;281;38,4404924760602
"2495";"20029 Deba";5460;1298;23,7728937728938
"2496";"33022 Degaña";881;223;25,3121452894438
"2497";"34067 Dehesa de Montejo";127;46;36,2204724409449
"2498";"34068 Dehesa de Romanos";61;11;18,0327868852459
"2499";"18064 Dehesas de Guadix";422;120;28,436018957346
"2500";"18065 Dehesas Viejas";688;151;21,9476744186047
"2501";"07018 Deià";630;113;17,9365079365079
"2502";"18066 Deifontes";2600;516;19,8461538461538
"2503";"10070 Deleitosa";687;233;33,9155749636099
"2504";"43901 Deltebre";11578;2566;22,1627224045604
"2505";"03063 Dénia";42827;8040;18,7732038200201
"2506";"48901 Derio";6730;1191;17,6968796433878
"2507";"10071 Descargamaría";116;41;35,3448275862069
"2508";"31079 Desojo";76;30;39,4736842105263
"2509";"24066 Destriana";459;230;50,1089324618736
"2510";"42075 Dévanos";78;39;50
"2511";"42076 Deza";217;98;45,1612903225806
"2512";"31080 Dicastillo";591;165;27,9187817258883
"2513";"05903 Diego del Carpio";126;60;47,6190476190476
"2514";"18067 Diezma";764;172;22,5130890052356
"2515";"18068 Dílar";2092;359;17,1606118546845
"2516";"48026 Dima";1448;259;17,8867403314917
"2517";"37115 Dios le Guarde";114;54;47,3684210526316
"2518";"15033 Dodro";2750;817;29,7090909090909
"2519";"18069 Dólar";628;184;29,2993630573248
"2520";"03064 Dolores";7531;1384;18,3773735227725
"2521";"46114 Domeño";673;149;22,1396731054978
"2522";"40068 Domingo García";25;10;40
"2523";"45058 Domingo Pérez";345;134;38,8405797101449
"2524";"18915 Domingo Pérez de Granada";878;226;25,7403189066059
"2525";"06043 Don Álvaro";775;169;21,8064516129032
"2526";"06044 Don Benito";37284;6015;16,1329256517541
"2527";"31081 Donamaria";442;86;19,4570135746606
"2528";"31221 Doneztebe/Santesteban";1763;299;16,9597277368123
"2529";"40069 Donhierro";84;23;27,3809523809524
"2530";"05069 Donjimeno";77;30;38,961038961039
"2531";"20069 Donostia/San Sebastián";188240;45722;24,2892052698683
"2532";"05070 Donvidas";30;12;40
"2533";"14022 Doña Mencía";4615;954;20,6717226435536
"2534";"37116 Doñinos de Ledesma";68;23;33,8235294117647
"2535";"37117 Doñinos de Salamanca";2172;221;10,1749539594843
"2536";"46115 Dos Aguas";327;85;25,9938837920489
"2537";"41038 Dos Hermanas";135050;18278;13,5342465753425
"2538";"14023 Dos Torres";2394;509;21,2614870509607
"2539";"45059 Dosbarrios";2260;480;21,2389380530973
"2540";"08075 Dosrius";5652;772;13,6588818117481
"2541";"36016 Dozón";1073;414;38,5834109972041
"2542";"19107 Driebes";348;128;36,7816091954023
"2543";"18070 Dúdar";327;70;21,4067278287462
"2544";"34069 Dueñas";2624;651;24,8094512195122
"2545";"43053 Duesaigües";244;53;21,7213114754098
"2546";"15034 Dumbría";2935;990;33,7308347529813
"2547";"48027 Durango";30118;5621;18,663257852447
"2548";"18071 Dúrcal";7111;1257;17,6768387006047
"2549";"19108 Durón";99;38;38,3838383838384
"2550";"40070 Duruelo";166;42;25,3012048192771
"2551";"42078 Duruelo de la Sierra";1088;366;33,6397058823529
"2552";"48028 Ea";808;223;27,5990099009901
"2553";"31083 Echarri/Etxarri	";75;9;12
"2554";"41039 Écija";39893;6566;16,4590278996315
"2555";"20030 Eibar";27769;6861;24,7074075407829
"2556";"07026 Eivissa";51128;6411;12,539117508997
"2557";"50095 Ejea de los Caballeros";16984;3340;19,6655675930287
"2558";"37118 Éjeme";124;46;37,0967741935484
"2559";"04902 Ejido, El";83758;8320;9,9333794980778
"2560";"44096 Ejulve";177;60;33,8983050847458
"2561";"48031 Elantxobe";347;114;32,8530259365994
"2562";"01021 Elburgo/Burgelu";608;81;13,3223684210526
"2563";"02030 Elche de la Sierra";3520;797;22,6420454545455
"2564";"03065 Elche/Elx";234765;40007;17,0412966157647
"2565";"01022 Elciego";1001;235;23,4765234765235
"2566";"03066 Elda";52813;11193;21,1936455039479
"2567";"20031 Elduain";243;47;19,3415637860082
"2568";"20033 Elgeta";1131;198;17,5066312997347
"2569";"20032 Elgoibar";11570;2630;22,7312013828868
"2570";"31087 Elgorriaga";220;49;22,2727272727273
"2571";"46116 Eliana, l'";18362;3399;18,5110554405838
"2572";"10072 Eljas";901;347;38,5127635960044
"2573";"48032 Elorrio";7375;1640;22,2372881355932
"2574";"01023 Elvillar/Bilar";330;87;26,3636363636364
"2575";"19109 Embid";35;15;42,8571428571429
"2576";"50096 Embid de Ariza";35;15;42,8571428571429
"2577";"46117 Emperador";688;78;11,3372093023256
"2578";"37120 Encina de San Silvestre";111;28;25,2252252252252
"2579";"37119 Encina, La";104;52;50
"2580";"50098 Encinacorba";178;66;37,0786516853933
"2581";"40071 Encinas";41;21;51,219512195122
"2582";"37121 Encinas de Abajo";605;147;24,297520661157
"2583";"37122 Encinas de Arriba";235;52;22,1276595744681
"2584";"47060 Encinas de Esgueva";231;100;43,2900432900433
"2585";"14024 Encinas Reales";2254;462;20,4968944099379
"2586";"21031 Encinasola";1310;398;30,381679389313
"2587";"37123 Encinasola de los Comendadores";160;94;58,75
"2588";"24067 Encinedo";690;236;34,2028985507246
"2589";"40072 Encinillas";312;27;8,65384615384615
"2590";"09120 Encío";44;18;40,9090909090909
"2591";"26058 Enciso";170;53;31,1764705882353
"2592";"37124 Endrinal";210;74;35,2380952380952
"2593";"31089 Enériz/Eneritz";292;68;23,2876712328767
"2594";"46118 Enguera";4777;1067;22,3361942641825
"2595";"16082 Enguídanos";313;116;37,0607028753994
"2596";"04041 Enix";514;134;26,0700389105058
"2597";"46119 Ènova, l'";902;262;29,0465631929047
"2598";"49061 Entrala";154;52;33,7662337662338
"2599";"39028 Entrambasaguas";5260;682;12,9657794676806
"2600";"26059 Entrena";1545;320;20,7119741100324
"2601";"32030 Entrimo";1109;471;42,4706943192065
"2602";"06045 Entrín Bajo";552;144;26,0869565217391
"2603";"50099 Épila";4372;845;19,327538883806
"2604";"48902 Erandio";24530;5338;21,7611088463106
"2605";"31090 Eratsun";150;50;33,3333333333333
"2606";"24068 Ercina, La";441;182;41,2698412698413
"2607";"48033 Ereño";260;79;30,3846153846154
"2608";"31091 Ergoiena";370;134;36,2162162162162
"2609";"50100 Erla";341;121;35,4838709677419
"2610";"48034 Ermua";15847;4013;25,3234050608948
"2611";"20067 Errenteria";39540;9376;23,7126960040465
"2612";"20066 Errezil";578;106;18,3391003460208
"2613";"01047 Erriberabeitia";1383;201;14,5336225596529
"2614";"01046 Erriberagoitia/Ribera Alta";782;151;19,309462915601
"2615";"48079 Errigoiti";486;120;24,6913580246914
"2616";"31092 Erro";793;213;26,860025220681
"2617";"45060 Erustes";189;64;33,8624338624339
"2618";"21032 Escacena del Campo";2287;429;18,7581985133363
"2619";"17062 Escala, L'";10244;2296;22,4131198750488
"2620";"39029 Escalante";781;230;29,449423815621
"2621";"45061 Escalona";3276;698;21,3064713064713
"2622";"40073 Escalona del Prado";495;153;30,9090909090909
"2623";"45062 Escalonilla";1420;329;23,169014084507
"2624";"19110 Escamilla";56;24;42,8571428571429
"2625";"23031 Escañuela";944;183;19,385593220339
"2626";"40074 Escarabajosa de Cabezas";296;91;30,7432432432432
"2627";"19111 Escariche";178;52;29,2134831460674
"2628";"50101 Escatrón";1067;285;26,7104029990628
"2629";"24069 Escobar de Campos";34;21;61,7647058823529
"2630";"40075 Escobar de Polendos";165;63;38,1818181818182
"2631";"42079 Escobosa de Almazán";20;13;65
"2632";"19112 Escopete";52;20;38,4615384615385
"2633";"07019 Escorca";208;51;24,5192307692308
"2634";"28054 Escorial, El";16365;2914;17,8062939199511
"2635";"44097 Escorihuela";136;58;42,6470588235294
"2636";"44099 Escucha";801;142;17,7278401997503
"2637";"10073 Escurial";865;226;26,1271676300578
"2638";"37125 Escurial de la Sierra";241;95;39,4190871369295
"2639";"18072 Escúzar";791;163;20,6068268015171
"2640";"32031 Esgos";1103;444;40,2538531278332
"2641";"47061 Esguevillas de Esgueva";265;113;42,6415094339623
"2642";"20034 Eskoriatza";4106;917;22,3331709693132
"2643";"31094 Eslava";105;46;43,8095238095238
"2644";"12057 Eslida";725;179;24,6896551724138
"2645";"37126 Espadaña";32;13;40,625
"2646";"49062 Espadañedo";111;43;38,7387387387387
"2647";"12058 Espadilla";69;13;18,8405797101449
"2648";"06046 Esparragalejo";1460;332;22,7397260273973
"2649";"06047 Esparragosa de la Serena";998;242;24,248496993988
"2650";"06048 Esparragosa de Lares";906;264;29,1390728476821
"2651";"08076 Esparreguera";22302;3751;16,8191193614922
"2652";"41040 Espartinas";15824;1476;9,32760364004045
"2653";"31095 Esparza de Salazar/Espartza Zaraitzu";72;28;38,8888888888889
"2654";"37127 Espeja";225;91;40,4444444444444
"2655";"42080 Espeja de San Marcelino";150;64;42,6666666666667
"2656";"14025 Espejo";3289;912;27,7287929461842
"2657";"42081 Espejón";147;55;37,4149659863946
"2658";"23032 Espeluy";620;139;22,4193548387097
"2659";"11017 Espera";3869;684;17,6789868182993
"2660";"14026 Espiel";2405;591;24,5738045738046
"2661";"40076 Espinar, El";9086;1561;17,1802773497689
"2662";"17063 Espinelves";221;46;20,8144796380091
"2663";"37128 Espino de la Orbada";250;100;40
"2664";"34070 Espinosa de Cerrato";134;68;50,7462686567164
"2665";"09122 Espinosa de Cervera";91;32;35,1648351648352
"2666";"19113 Espinosa de Henares";629;162;25,7551669316375
"2667";"05072 Espinosa de los Caballeros";112;30;26,7857142857143
"2668";"09124 Espinosa de los Monteros";1651;520;31,496062992126
"2669";"34071 Espinosa de Villagonzalo";168;69;41,0714285714286
"2670";"09123 Espinosa del Camino";42;13;30,952380952381
"2671";"45063 Espinoso del Rey";425;193;45,4117647058823
"2672";"40077 Espirdo";1389;90;6,47948164146868
"2673";"19114 Esplegares";32;16;50
"2674";"25081 Espluga Calba, L'";329;115;34,9544072948328
"2675";"43054 Espluga de Francolí, L'";3736;836;22,3768736616702
"2676";"08077 Esplugues de Llobregat";47150;10907;23,1325556733828
"2677";"22099 Esplús";632;193;30,5379746835443
"2678";"17064 Espolla";412;126;30,5825242718447
"2679";"17065 Esponellà";463;113;24,4060475161987
"2680";"07020 Esporles";5113;851;16,6438490123215
"2681";"25082 Espot";366;70;19,1256830601093
"2682";"31096 Espronceda";101;43;42,5742574257426
"2683";"08078 Espunyola, L'";242;63;26,0330578512397
"2684";"08254 Esquirol, L'";2186;518;23,6962488563586
"2685";"45064 Esquivias";5628;854;15,1741293532338
"2686";"19115 Establés";35;12;34,2857142857143
"2687";"22102 Estada";199;63;31,6582914572864
"2688";"22103 Estadilla";796;244;30,6532663316583
"2689";"25088 Estamariu";125;39;31,2
"2690";"08079 Estany, L'";408;119;29,1666666666667
"2691";"25085 Estaràs";156;50;32,0512820512821
"2692";"31097 Estella-Lizarra";13991;3284;23,4722321492388
"2693";"07021 Estellencs";327;89;27,217125382263
"2694";"41041 Estepa";12497;1899;15,1956469552693
"2695";"42082 Estepa de San Juan";9;1;11,1111111111111
"2696";"09125 Estépar";596;218;36,5771812080537
"2697";"29051 Estepona";70228;11398;16,2299937346927
"2698";"44100 Estercuel";205;54;26,3414634146341
"2699";"31098 Esteribar";2726;379;13,9031548055759
"2700";"25086 Esterri d'Àneu";804;126;15,6716417910448
"2701";"25087 Esterri de Cardós";64;12;18,75
"2702";"46120 Estivella";1441;348;24,1498959056211
"2703";"26060 Estollo";86;37;43,0232558139535
"2704";"22105 Estopiñán del Castillo";121;41;33,8842975206612
"2705";"36017 Estrada, A";20351;5722;28,1165544690679
"2706";"45065 Estrella, La";215;155;72,0930232558139
"2707";"28055 Estremera";1334;322;24,1379310344828
"2708";"19116 Estriégana";14;5;35,7142857142857
"2709";"46121 Estubeny";125;34;27,2
"2710";"31099 Etayo";61;22;36,0655737704918
"2711";"31082 Etxalar";827;199;24,0628778718259
"2712";"31084 Etxarri Aranatz";2497;567;22,7072486984381
"2713";"31085 Etxauri";649;123;18,9522342064715
"2714";"48029 Etxebarri";11691;1693;14,4812248738346
"2715";"48030 Etxebarria";782;179;22,8900255754476
"2716";"31100 Eulate";282;98;34,7517730496454
"2717";"31101 Ezcabarte";1811;255;14,0806184428493
"2718";"26061 Ezcaray";2045;450;22,0048899755501
"2719";"31093 Ezcároz/Ezkaroze";314;106;33,7579617834395
"2720";"20035 Ezkio-Itsaso";601;137;22,7953410981697
"2721";"31102 Ezkurra";138;50;36,231884057971
"2722";"31103 Ezprogui";44;16;36,3636363636364
"2723";"50102 Fabara";1109;334;30,117222723174
"2724";"24070 Fabero";4386;1205;27,4737802097583
"2725";"03067 Facheca";107;41;38,3177570093458
"2726";"22106 Fago";20;8;40
"2727";"31104 Falces";2336;624;26,7123287671233
"2728";"43055 Falset";2735;611;22,3400365630713
"2729";"03068 Famorca";45;21;46,6666666666667
"2730";"22107 Fanlo";100;33;33
"2731";"12059 Fanzara";273;87;31,8681318681319
"2732";"17005 Far d'Empordà, El";602;108;17,9401993355482
"2733";"29052 Faraján";261;98;37,5478927203065
"2734";"49063 Faramontanos de Tábara";319;141;44,2006269592476
"2735";"49064 Fariza";495;248;50,1010101010101
"2736";"50104 Farlete";366;137;37,431693989071
"2737";"25089 Farrera";108;26;24,0740740740741
"2738";"38012 Fasnia";2818;668;23,7047551454933
"2739";"43056 Fatarella, La";926;328;35,4211663066955
"2740";"46122 Faura";3553;712;20,0394033211371
"2741";"46123 Favara";2504;518;20,6869009584665
"2742";"50105 Fayón";380;118;31,0526315789474
"2743";"50106 Fayos, Los";131;63;48,0916030534351
"2744";"43057 Febró, La";40;13;32,5
"2745";"07022 Felanitx";18202;3373;18,5309306669597
"2746";"04043 Felix";636;135;21,2264150943396
"2747";"15035 Fene";12868;3816;29,6549580354367
"2748";"02031 Férez";629;195;31,0015898251192
"2749";"06049 Feria";1115;318;28,5201793721973
"2750";"49065 Fermoselle";1164;509;43,7285223367698
"2751";"13040 Fernán Caballero";985;303;30,761421319797
"2752";"14027 Fernán-Núñez";9651;1859;19,2622526163092
"2753";"18074 Ferreira";301;103;34,21926910299
"2754";"49066 Ferreras de Abajo";479;216;45,0939457202505
"2755";"49067 Ferreras de Arriba";348;160;45,9770114942529
"2756";"07023 Ferreries";4908;759;15,4645476772616
"2757";"49068 Ferreruela";446;210;47,085201793722
"2758";"44101 Ferreruela de Huerva";64;27;42,1875
"2759";"15036 Ferrol";65560;18711;28,5402684563758
"2760";"08134 Figaró-Montmany";1142;223;19,5271453590193
"2761";"08080 Fígols";43;13;30,2325581395349
"2762";"25908 Fígols i Alinyà";244;75;30,7377049180328
"2763";"43058 Figuera, La";114;39;34,2105263157895
"2764";"17066 Figueres";47235;7348;15,5562612469567
"2765";"43059 Figuerola del Camp";329;68;20,6686930091185
"2766";"12060 Figueroles";523;119;22,7533460803059
"2767";"49069 Figueruela de Arriba";336;206;61,3095238095238
"2768";"50107 Figueruelas";1262;232;18,3835182250396
"2769";"04044 Fines";2104;320;15,2091254752852
"2770";"03069 Finestrat";7103;1078;15,1766859073631
"2771";"04045 Fiñana";1984;487;24,5463709677419
"2772";"35008 Firgas";7438;1282;17,2358160795913
"2773";"22109 Fiscal";331;73;22,0543806646526
"2774";"15037 Fisterra";4697;1241;26,4211198637428
"2775";"31105 Fitero";2080;562;27,0192307692308
"2776";"17067 Flaçà";1130;227;20,0884955752212
"2777";"43060 Flix";3410;972;28,5043988269795
"2778";"05073 Flores de Ávila";295;108;36,6101694915254
"2779";"25092 Floresta, La";140;40;28,5714285714286
"2780";"37129 Florida de Liébana";251;80;31,8725099601594
"2781";"08082 Fogars de la Selva";1469;287;19,5371000680735
"2782";"08081 Fogars de Montclús";475;80;16,8421052631579
"2783";"46126 Foios";7452;1346;18,0622651637144
"2784";"17068 Foixà";303;93;30,6930693069307
"2785";"24071 Folgoso de la Ribera";1045;330;31,5789473684211
"2786";"27017 Folgoso do Courel";1007;433;42,9990069513406
"2787";"08083 Folgueroles";2265;372;16,4238410596026
"2788";"47062 Fombellida";176;78;44,3181818181818
"2789";"50108 Fombuena";60;17;28,3333333333333
"2790";"47063 Fompedraza";100;31;31
"2791";"26062 Foncea";94;32;34,0425531914894
"2792";"25093 Fondarella";776;155;19,9742268041237
"2793";"03077 Fondó de les Neus, el/Hondón de las Nieves";2606;904;34,689178818112
"2794";"04046 Fondón";994;250;25,1509054325956
"2795";"18076 Fonelas";978;223;22,80163599182
"2796";"49071 Fonfría";750;328;43,7333333333333
"2797";"44102 Fonfría";26;15;57,6923076923077
"2798";"08084 Fonollosa";1459;297;20,3564084989719
"2799";"27018 Fonsagrada, A";3389;1389;40,9855414576571
"2800";"46128 Font de la Figuera, la";2027;471;23,2363098174642
"2801";"46127 Font d'En Carròs, la";3778;773;20,4605611434622
"2802";"17069 Fontanals de Cerdanya";437;107;24,4851258581236
"2803";"19117 Fontanar";2406;239;9,9334995843724
"2804";"13041 Fontanarejo";253;101;39,9209486166008
"2805";"46124 Fontanars dels Alforins";959;208;21,689259645464
"2806";"17070 Fontanilles";146;39;26,7123287671233
"2807";"17071 Fontcoberta";1469;261;17,7671885636487
"2808";"31106 Fontellas";993;166;16,7170191339376
"2809";"47064 Fontihoyuelo";39;10;25,6410256410256
"2810";"09127 Fontioso";57;26;45,6140350877193
"2811";"05074 Fontiveros";749;254;33,9118825100133
"2812";"08085 Font-rubí";1414;305;21,5700141442716
"2813";"22110 Fonz";851;293;34,4300822561692
"2814";"26063 Fonzaleche";134;41;30,5970149253731
"2815";"25094 Foradada";203;54;26,6009852216749
"2816";"22111 Foradada del Toscar";162;56;34,5679012345679
"2817";"17902 Forallac";1695;367;21,6519174041298
"2818";"12061 Forcall";456;131;28,7280701754386
"2819";"36018 Forcarei";3308;1389;41,9891172914148
"2820";"43061 Forès";43;21;48,8372093023256
"2821";"37130 Forfoleda";190;77;40,5263157894737
"2822";"07024 Formentera";11904;1461;12,273185483871
"2823";"03070 Formentera del Segura";4268;890;20,8528584817245
"2824";"44103 Formiche Alto";148;50;33,7837837837838
"2825";"07025 Fornalutx";679;155;22,8276877761414
"2826";"17073 Fornells de la Selva";2670;360;13,4831460674157
"2827";"36019 Fornelos de Montes";1598;537;33,6045056320401
"2828";"18077 Fornes";556;129;23,2014388489209
"2829";"44105 Fórnoles";74;32;43,2432432432432
"2830";"46125 Fortaleny";1020;218;21,3725490196078
"2831";"44106 Fortanete";202;47;23,2673267326733
"2832";"17074 Fortià";787;158;20,0762388818297
"2833";"30020 Fortuna";10289;1490;14,4814850811546
"2834";"48906 Forua";907;217;23,9250275633958
"2835";"27019 Foz";10016;2598;25,9384984025559
"2836";"44107 Foz-Calanda";258;60;23,2558139534884
"2837";"15038 Frades";2302;727;31,5812337098176
"2838";"37131 Frades de la Sierra";177;71;40,1129943502825
"2839";"22112 Fraga";15353;2616;17,0390151761871
"2840";"50109 Frago, El";97;37;38,1443298969072
"2841";"23033 Frailes";1585;464;29,2744479495268
"2842";"33023 Franco, El";3760;1056;28,0851063829787
"2843";"09128 Frandovínez";86;31;36,046511627907
"2844";"08086 Franqueses del Vallès, Les";20364;2814;13,8185032410136
"2845";"50110 Frasno, El";379;135;35,6200527704486
"2846";"34072 Frechilla";152;66;43,421052631579
"2847";"42083 Frechilla de Almazán";23;13;56,5217391304348
"2848";"06050 Fregenal de la Sierra";4836;1053;21,7741935483871
"2849";"37132 Fregeneda, La";329;160;48,6322188449848
"2850";"43062 Freginals";385;105;27,2727272727273
"2851";"18078 Freila";939;236;25,1331203407881
"2852";"50111 Fréscano";199;57;28,643216080402
"2853";"16083 Fresneda de Altarejos";37;11;29,7297297297297
"2854";"40078 Fresneda de Cuéllar";163;58;35,5828220858896
"2855";"16084 Fresneda de la Sierra";51;19;37,2549019607843
"2856";"09129 Fresneda de la Sierra Tirón";94;38;40,4255319148936
"2857";"44108 Fresneda, La";443;123;27,765237020316
"2858";"05075 Fresnedilla";107;49;45,7943925233645
"2859";"28056 Fresnedillas de la Oliva";1651;206;12,4772864930345
"2860";"37133 Fresnedoso";104;39;37,5
"2861";"10075 Fresnedoso de Ibor";262;95;36,2595419847328
"2862";"09130 Fresneña";68;36;52,9411764705882
"2863";"09131 Fresnillo de las Dueñas";677;107;15,8050221565731
"2864";"37134 Fresno Alhándiga";205;69;33,6585365853659
"2865";"40079 Fresno de Cantespino";280;78;27,8571428571429
"2866";"42084 Fresno de Caracena";20;12;60
"2867";"40080 Fresno de la Fuente";79;23;29,1139240506329
"2868";"49075 Fresno de la Polvorosa";132;70;53,030303030303
"2869";"49076 Fresno de la Ribera";375;101;26,9333333333333
"2870";"24073 Fresno de la Vega";479;209;43,6325678496869
"2871";"09132 Fresno de Río Tirón";184;68;36,9565217391304
"2872";"09133 Fresno de Rodilla";44;10;22,7272727272727
"2873";"49077 Fresno de Sayago";161;59;36,6459627329193
"2874";"28057 Fresno de Torote";2299;323;14,0495867768595
"2875";"34073 Fresno del Río";186;67;36,0215053763441
"2876";"47065 Fresno el Viejo";878;279;31,7767653758542
"2877";"05076 Fresno, El";582;124;21,3058419243986
"2878";"09134 Frías";247;65;26,3157894736842
"2879";"44109 Frías de Albarracín";104;35;33,6538461538462
"2880";"49078 Friera de Valverde";144;59;40,9722222222222
"2881";"29053 Frigiliana";3062;618;20,1828870019595
"2882";"27020 Friol";3664;1323;36,1080786026201
"2883";"34074 Frómista";784;261;33,2908163265306
"2884";"38013 Frontera";4184;945;22,5860420650096
"2885";"16085 Frontera, La";148;53;35,8108108108108
"2886";"48035 Fruiz";552;95;17,2101449275362
"2887";"40081 Frumales";114;53;46,4912280701754
"2888";"19118 Fuembellida";12;3;25
"2889";"13042 Fuencaliente";1024;285;27,83203125
"2890";"38014 Fuencaliente de la Palma";1751;419;23,929183323815
"2891";"19119 Fuencemillán";82;26;31,7073170731707
"2892";"50113 Fuendejalón";784;220;28,0612244897959
"2893";"50114 Fuendetodos";145;41;28,2758620689655
"2894";"44110 Fuenferrada";36;27;75
"2895";"29054 Fuengirola";82837;18806;22,7024155872376
"2896";"28058 Fuenlabrada";194514;26432;13,5887391138941
"2897";"06051 Fuenlabrada de los Montes";1811;508;28,0508006626173
"2898";"13043 Fuenllana";211;100;47,39336492891
"2899";"26064 Fuenmayor";3143;530;16,8628698695514
"2900";"47066 Fuensaldaña";1954;287;14,6878198567042
"2901";"45066 Fuensalida";11655;1735;14,8863148863149
"2902";"02032 Fuensanta";291;108;37,1134020618557
"2903";"23034 Fuensanta de Martos";3038;679;22,3502304147465
"2904";"30021 Fuente Álamo de Murcia";16787;2278;13,5700244236612
"2905";"14901 Fuente Carreteros";1148;240;20,9059233449477
"2906";"06052 Fuente de Cantos";4687;910;19,415404309793
"2907";"16086 Fuente de Pedro Naharro";1215;256;21,0699588477366
"2908";"29055 Fuente de Piedra";2662;506;19,0082644628099
"2909";"37135 Fuente de San Esteban, La";1285;430;33,4630350194552
"2910";"40082 Fuente de Santa Cruz";110;54;49,0909090909091
"2911";"06053 Fuente del Arco";681;200;29,3685756240822
"2912";"06054 Fuente del Maestre";6714;1363;20,3008638665475
"2913";"13044 Fuente el Fresno";3208;776;24,1895261845387
"2914";"40083 Fuente el Olmo de Fuentidueña";170;37;21,7647058823529
"2915";"40084 Fuente el Olmo de Íscar";55;17;30,9090909090909
"2916";"05077 Fuente el Saúz";159;70;44,0251572327044
"2917";"28059 Fuente el Saz de Jarama";6807;976;14,3381812839724
"2918";"47067 Fuente el Sol";150;57;38
"2919";"49079 Fuente Encalada";102;50;49,0196078431373
"2920";"14028 Fuente la Lancha";342;92;26,9005847953216
"2921";"12063 Fuente la Reina";51;8;15,6862745098039
"2922";"14029 Fuente Obejuna";4501;1209;26,8606976227505
"2923";"14030 Fuente Palmera";9766;1624;16,6291214417366
"2924";"18079 Fuente Vaqueros";4384;774;17,6551094890511
"2925";"02033 Fuente-Álamo";2474;547;22,1099434114794
"2926";"02034 Fuentealbilla";1831;430;23,4844347351174
"2927";"42085 Fuentearmegil";171;97;56,7251461988304
"2928";"09135 Fuentebureba";47;22;46,8085106382979
